"Evidence statement GUID","Study GUID"
"CG66ES20","CG66ST20"
"CG66ES21","CG66ST19"
"CG66ES21","CG66ST20"
"CG66ES22","CG66ST28"
"CG66ES23","CG66ST28"
"CG66ES24","CG66ST29"
"CG66ES25","CG66ST30"
"CG66ES26","CG66ST31"
"CG66ES27","CG66ST37"
"CG66ES27","CG66ST38"
"CG66ES28","CG66ST36"
"CG66ES29","CG66ST39"
"CG66ES30","CG66ST41"
"CG66ES31","CG66ST42"
"CG66ES32","CG66ST45"
"CG66ES33","CG66ST44"
"CG66ES34","CG66ST43"
"CG66ES35","CG66ST46"
"CG66ES36","CG66ST49"
"CG66ES37","CG66ST50"
"CG66ES38","CG66ST56"
"CG66ES39","CG66ST56"
"CG66ES40","CG66ST56"
"CG66ES41","CG66ST56"
"CG66ES42","CG66ST56"
"CG66ES43","CG66ST56"
"CG66ES44","CG66ST56"
"CG66ES45","CG66ST56"
"CG66ES46","CG66ST56"
"CG66ES47","CG66ST56"
"CG66ES48","CG66ST59"
"CG66ES49","CG66ST63"
"CG66ES50","CG66ST65"
"CG66ES51","CG66ST56"
"CG66ES51","CG66ST59"
"CG66ES51","CG66ST62"
"CG66ES51","CG66ST63"
"CG66ES51","CG66ST64"
"CG66ES51","CG66ST65"
"CG66ES52","CG66ST65"
"CG66ES52","CG66ST66"
"CG66ES53","CG66ST67"
"CG66ES54","CG66ST57"
"CG66ES55","CG66ST58"
"CG66ES56","CG66ST80"
"CG66ES56","CG66ST81"
"CG66ES56","CG66ST82"
"CG66ES57","CG66ST80"
"CG66ES57","CG66ST81"
"CG66ES57","CG66ST82"
"CG66ES58","CG66ST84"
"CG66ES58","CG66ST85"
"CG66ES58","CG66ST86"
"CG66ES59","CG66ST94"
"CG66ES60","CG66ST93"
"CG66ES61","CG66ST96"
"CG66ES62","CG66ST87"
"CG66ES63","CG66ST91"
"CG66ES64","CG66ST95"
"CG66ES65","CG66ST91"
"CG66ES66","CG66ST91"
"CG66ES67","CG66ST97"
"CG66ES68","CG66ST99"
"CG66ES68","CG66ST100"
"CG66ES68","CG66ST101"
"CG66ES68","CG66ST102"
"CG66ES68","CG66ST103"
"CG66ES68","CG66ST104"
"CG66ES68","CG66ST105"
"CG66ES68","CG66ST106"
"CG66ES68","CG66ST107"
"CG66ES69","CG66ST99"
"CG66ES69","CG66ST100"
"CG66ES69","CG66ST101"
"CG66ES69","CG66ST102"
"CG66ES69","CG66ST103"
"CG66ES69","CG66ST104"
"CG66ES69","CG66ST105"
"CG66ES69","CG66ST106"
"CG66ES69","CG66ST107"
"CG66ES70","CG66ST229"
"CG66ES70","CG66ST232"
"CG66ES70","CG66ST233"
"CG66ES70","CG66ST235"
"CG66ES71","CG66ST233"
"CG66ES72","CG66ST232"
"CG66ES73","CG66ST229"
